title,link,authors,publication
Evolving bin packing heuristics with genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:dTyEYWd-f8wC,"EK Burke, MR Hyde, G Kendall","Parallel Problem Solving from Nature-PPSN IX, 860-869, 2006"
A genetic algorithm based university timetabling system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:V3AGJWp-ZtQC,"EK Burke, D Elliman, R Weare","Proceedings of the 2nd east-west international conference on computer …, 1994"
Hybridizations within a graph-based hyper-heuristic framework for university timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:_Ybze24A_UAC,"R Qu, EK Burke","Journal of the Operational Research Society 60 (9), 1273-1285, 2009"
A multi-objective approach for robust airline scheduling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:3fE2CSJIrl8C,"EK Burke, P De Causmaecker, G De Maere, J Mulder, M Paelinck, ...","Computers & Operations Research 37 (5), 822-832, 2010"
Variable neighborhood search for nurse rostering problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:VL0QpB8kHFEC,"E Burke, PD Causmaecker, S Petrovic, GV Berghe","Metaheuristics: computer decision-making, 153-172, 2003"
A hybrid evolutionary approach to the university course timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:dQ2og3OwTAUC,"S Abdullah, EK Burke, B McCollum","2007 IEEE congress on evolutionary computation, 1764-1768, 2007"
Initialization strategies and diversity in evolutionary timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:t6usbXjVLHcC,"EK Burke, JP Newall, RF Weare","Evolutionary computation 6 (1), 81-103, 1998"
Fuzzy multiple heuristic orderings for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:WA5NYHcadZ8C,"H Asmuni, EK Burke, JM Garibaldi, B McCollum","International Conference on the Practice and Theory of Automated Timetabling …, 2004"
Enhancing timetable solutions with local search methods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:_B80troHkn4C,"EK Burke, JP Newall","International Conference on the Practice and Theory of Automated Timetabling …, 2002"
Multi-robot search and rescue: A potential field based approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:ipzZ9siozwsC,"JL Baxter, EK Burke, JM Garibaldi, M Norman","Autonomous robots and agents, 9-16, 2007"
