title,link,authors,publication
for Solving University Course Timetabling Problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:_Qo2XoVZTnwC,"HY Tarawneh, M Ayob","Journal of Applied Sciences 13 (7), 1087-1093, 2013"
Using Tabu search with multi-neighborhood structures to solve University Course Timetable UKM case study (faculty of engineering),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:hFOr9nPyWt4C,"HY Al Tarawneh, M Ayob","2011 3rd Conference on Data Mining and Optimization (DMO), 208-212, 2011"
Vehicle and driver scheduling modelling: A case study in UKM,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:zA6iFVUQeVQC,"A Oughalime, WR Ismail, CY Liong, M Ayob","2009 2nd Conference on Data Mining and Optimization, 53-59, 2009"
Lightweight and optimized multi-layer data hiding using video steganography paper,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:tKAzc9rXhukC,"S Kamil, M Ayob, SNHS Abdullah, Z Ahmad","International Journal of Advanced Computer Science and Applications 9 (12 …, 2018"
A hybrid meta-heuristic algorithm for vehicle routing problem with time windows,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:HoB7MX3m0LUC,"ET Yassen, M Ayob, MZ Ahmad Nazri, NR Sabar","International Journal on Artificial Intelligence Tools 24 (06), 1550021, 2015"
Adaptive randomized descent algorithm for solving course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:qxL8FJ1GzNcC,"A Abuhamdah, M Ayob","International Journal of Physical Sciences 5 (16), 2516-2522, 2010"
The effects of returns function on individual stock price (KLSE) prediction model using neural networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:YOwf2qJgpHMC,"M Ayob, MF Nasrudin, K Omar, M Surip","Proceedings of the International Conference on Artificial Intelligence, IC …, 2001"
On the performance of Scatter Search for post-enrolment course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:dhFuZR0502QC,"G Jaradat, M Ayob, Z Ahmad","Journal of Combinatorial Optimization 27 (3), 417-439, 2014"
A greedy constructive approach for nurse rostering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:M3NEmzRMIkIC,"M Jamom, M Ayob, M Hadwan","2011 3rd Conference on Data Mining and Optimization (DMO), 227-231, 2011"
Hybrid integrated two-stage multi-neighbourhood tabu search-EMCQ technique for examination timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:HDshCWvjkbEC,"AM Ab Malik, AK Othman, M Ayob, AR Hamdan","2011 3rd Conference on Data Mining and Optimization (DMO), 232-236, 2011"
MPCA-ARDA for solving course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:mVmsd5A6BfQC,"A Abuhamdah, M Ayob","2011 3rd Conference on Data Mining and Optimization (DMO), 171-177, 2011"
Average late acceptance randomized descent algorithm for solving course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:ULOm3_A8WrAC,"A Abuhamdah, M Ayob","2010 International Symposium on Information Technology 2, 748-753, 2010"
Bird mating optimizer for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:kzcrU_BdoSEC,"A Arram, M Ayob, G Kendall, A Sulaiman","IEEE Access 8, 96845-96858, 2020"
Assessment of Self-Identity Among Teens Towards Self-Crime Prevention Program,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:LjlpjdlvIbIC,"SNHS Abdullah, WF Fauzi, MN Sudin, NN Zahari, ZB Ab Rahman, ...","2018 Cyber Resilience Conference (CRC), 1-4, 2018"
Feature selection based on supervised topic modeling for boosting-based multi-label text categorization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:wbdj-CoPYUoC,"B Al-Salemi, M Ayob, SAM Noah, MJ Ab Aziz","2017 6th International Conference on Electrical Engineering and Informatics …, 2017"
Bird mating optimizer for discrete berth allocation problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:xtRiw3GOFMkC,"A Arram, MZA Nazri, M Ayob, A Abunadi","2015 International Conference on Electrical Engineering and Informatics …, 2015"
Effect of Elite Pool and Euclidean Distance in Big Bang-Big,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:RHpTSmoSYBkC,"GM Jaradat, M Ayob","International Journal of Soft Computing 8 (2), 96-107, 2013"
